id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
507a9087-b56d-4a9e-b2d0-50f803323274,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:21:05,63.66974091529846,0.001662523312919,0.0007822271938682,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
5e53cd86-09b1-4601-8322-3fe6899eb05e,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:22:09,63.10302233695984,0.0015890213143656,0.0007476440625369,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
c939ee47-91f9-466c-9a14-8d0366f61190,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:23:14,63.00336813926697,0.0016304524182429,0.0007671376454978,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
c360c815-1f9a-4993-8186-a20af716ba5f,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:24:18,64.04326248168945,0.0016740229794845,0.0007876378559853,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
68a86476-f2e2-4ac1-89b6-2ce900c8a6bc,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:25:23,63.61225605010986,0.0016430932136291,0.0007730852155718,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
7d894ada-47e7-4d5b-935e-d1f059cb078d,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:26:28,62.97861123085022,0.0016618224647017,0.0007818974405769,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
4638855b-c715-4a1f-9b36-8612f96af115,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:27:32,64.06982851028442,0.0017152967067956,0.0008070573923275,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
e12c9d6b-fa52-4228-897e-0956f6156814,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:28:37,63.23584508895874,0.0016936556179435,0.0007968751301761,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
0e0f6c78-f7f9-4d7b-a127-1799c1e26537,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:29:42,63.23071527481079,0.001631493997099,0.000767627714599,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
e5e25b4d-3ca3-4436-9ed0-be9ca0344319,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:30:46,63.73826909065247,0.0016640278566959,0.0007829350907425,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
ac733706-2807-496b-bec4-7ad54f2b7312,U_Net_Training_Project,Training U_Net Model,,2025-05-11 10:31:51,63.24191617965698,0.0016953289832215,0.0007976624585796,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
a64d0e44-c81a-4229-b683-46f2e08198a6,U_Net_Training_Project,Training U_Net Model,N/A,2025-05-11 10:32:55,63.300520181655884,0.0015870877703606505,0.0007467343184813083,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla T4 1 device(s),Linux,EG,0
